,UA,SU,SUBP,DAP,SA,QF,PS,HT,HF
0,ES_101,4,1,11.6,1,2,2,11.0,6.5
1,ES_101,4,1,11.2,1,2,3,9.0,6.0
3,ES_101,4,1,14.3,1,2,2,12.0,6.0
4,ES_101,4,1,14.3,2,2,2,15.0,7.0
5,ES_101,4,1,11.9,1,3,2,12.0,4.0
6,ES_101,4,1,11.9,3,3,3,3.0,2.0
7,ES_101,4,1,10.1,3,3,3,2.5,1.7
8,ES_101,4,1,13.3,1,2,2,12.0,7.0
9,ES_101,4,2,10.5,1,2,3,7.5,5.0
10,ES_101,4,2,15.5,2,2,3,10.0,7.0
11,ES_101,4,2,17.6,1,1,2,14.5,10.0
12,ES_101,4,2,12.3,1,2,2,13.5,9.0
13,ES_101,4,2,25.4,2,2,1,18.0,12.0
14,ES_101,4,2,11.8,2,2,3,8.5,1.7
15,ES_101,4,2,13.4,1,2,2,9.0,7.0
17,ES_101,4,2,12.1,1,2,2,11.0,9.0
18,ES_101,4,3,19.3,1,2,2,16.0,12.0
19,ES_101,4,3,10.8,1,2,2,15.0,12.0
20,ES_101,4,3,19.7,2,2,2,15.0,10.0
21,ES_101,4,3,10.3,1,1,2,13.0,10.0
22,ES_101,4,3,13.6,1,2,2,11.0,8.0
24,ES_101,4,3,17.3,1,2,2,16.0,13.0
25,ES_101,4,3,13.2,1,2,2,15.0,13.0
26,ES_101,4,4,18.2,1,2,2,16.5,9.0
27,ES_101,4,4,12.6,1,2,2,17.0,12.5
28,ES_101,4,4,21.8,1,2,1,18.0,4.5
29,ES_101,4,4,16.0,1,2,2,17.0,12.0
30,ES_101,4,4,12.5,1,2,2,13.0,10.0
31,ES_101,4,4,17.0,1,2,1,18.5,13.0
33,ES_101,4,5,18.2,1,2,2,17.0,8.0
34,ES_101,4,5,10.6,2,2,2,16.0,14.0
35,ES_101,4,5,16.0,3,4,2,16.0,7.5
36,ES_101,4,5,19.4,2,2,2,15.0,11.0
37,ES_101,4,5,18.8,1,2,1,18.0,12.0
38,ES_101,4,5,14.5,2,2,2,16.0,12.0
40,ES_101,4,5,12.1,1,2,2,16.5,12.5
43,ES_101,4,5,13.0,1,2,2,14.0,10.0
44,ES_101,4,5,20.4,1,1,2,17.0,12.0
46,ES_101,4,6,20.3,1,3,2,15.0,9.5
47,ES_101,4,6,14.0,1,2,2,14.5,12.5
48,ES_101,4,6,13.2,1,2,2,15.0,11.0
49,ES_101,4,6,12.3,2,3,2,14.0,10.0
50,ES_101,4,6,25.3,2,2,2,17.5,10.5
51,ES_101,4,6,12.7,1,2,2,12.5,9.5
54,ES_101,4,7,21.7,1,2,1,19.5,11.0
55,ES_101,4,7,11.8,1,2,3,10.5,8.0
57,ES_101,4,7,11.8,1,2,2,12.0,9.5
58,ES_101,4,7,16.1,2,2,3,10.0,2.2
60,ES_101,4,7,14.0,2,2,2,12.5,9.0
61,ES_101,4,8,12.6,1,2,2,11.5,5.0
62,ES_101,4,8,18.7,1,2,2,17.5,12.0
63,ES_101,4,8,12.1,1,2,2,12.5,10.0
64,ES_101,4,8,12.4,1,2,2,13.5,10.5
65,ES_101,4,8,10.5,1,2,2,12.0,9.5
66,ES_101,4,8,16.5,1,2,2,17.5,4.5
68,ES_101,4,8,13.2,1,2,2,12.0,8.5
69,ES_101,4,8,13.8,1,1,2,16.0,12.0
70,ES_101,4,8,12.8,1,2,2,15.5,12.0
71,ES_101,4,9,10.1,1,1,3,6.5,5.0
72,ES_101,4,9,10.2,1,3,3,6.5,4.5
73,ES_101,4,9,10.6,1,2,3,10.0,8.0
74,ES_101,4,9,16.7,1,3,2,12.0,8.0
75,ES_101,4,9,14.0,1,2,2,13.5,10.0
76,ES_101,4,9,10.7,2,2,3,10.5,8.0
77,ES_101,4,9,10.8,1,2,3,10.5,9.0
78,ES_101,4,9,16.8,1,2,2,13.5,10.0
79,ES_101,4,9,14.1,1,2,2,10.0,8.0
80,ES_101,4,9,15.4,2,2,2,11.5,7.5
81,ES_101,4,9,15.9,2,2,2,12.0,8.0
83,ES_101,4,9,15.0,1,1,2,12.5,6.0
84,ES_101,4,9,19.9,1,2,2,14.0,11.5
85,ES_101,4,9,10.6,1,2,2,13.5,10.0
86,ES_101,4,10,10.6,2,2,3,9.0,6.0
87,ES_101,4,10,13.8,2,2,2,13.0,8.5
88,ES_101,4,10,14.0,2,3,3,9.5,1.8
89,ES_101,4,10,18.9,1,3,2,13.0,9.0
90,ES_101,4,10,13.6,2,3,3,3.5,1.6
91,ES_101,4,10,15.6,3,2,2,12.0,8.5
92,ES_101,4,10,11.0,2,2,3,9.5,6.5
93,ES_101,4,10,22.0,3,3,3,9.0,2.5
94,ES_101,4,10,21.4,1,2,2,12.0,9.5
95,ES_102,1,1,14.6,2,2,2,6.6,3.4
96,ES_102,1,2,14.0,2,2,2,7.5,3.5
97,ES_102,1,2,10.2,1,2,2,7.0,2.0
98,ES_102,1,2,11.6,1,2,2,7.0,3.0
99,ES_102,1,2,10.7,1,2,3,5.5,2.5
100,ES_102,1,3,14.5,1,2,1,11.2,7.0
101,ES_102,1,4,16.3,2,2,2,8.3,5.6
102,ES_102,1,4,10.7,2,3,3,4.0,1.5
104,ES_102,1,6,12.3,1,2,1,12.4,12.0
106,ES_102,1,6,18.5,1,2,1,12.5,6.5
107,ES_102,1,6,11.5,2,4,3,5.5,5.0
108,ES_102,1,6,10.1,1,2,3,6.0,5.5
111,ES_102,1,8,15.4,2,3,2,8.5,6.0
112,ES_102,1,9,10.4,1,2,2,9.5,7.0
113,ES_102,1,9,14.2,1,2,1,11.0,8.0
114,ES_102,1,9,13.3,1,2,2,7.0,3.5
115,ES_102,1,9,10.1,1,2,3,6.5,3.0
116,ES_102,1,10,25.1,1,2,1,16.0,9.5
117,ES_102,1,10,15.1,1,2,2,9.0,5.5
118,ES_102,2,1,12.5,2,2,1,7.7,6.0
119,ES_102,2,1,10.9,1,2,1,7.2,3.0
120,ES_102,2,1,16.3,1,2,1,7.5,2.2
121,ES_102,2,3,14.7,1,2,1,7.0,3.0
122,ES_102,2,3,12.5,1,2,2,6.0,2.0
123,ES_102,2,4,12.9,1,2,2,6.5,2.5
124,ES_102,2,6,13.2,1,3,3,5.0,3.5
125,ES_102,2,6,12.8,1,2,1,10.8,5.5
128,ES_102,3,2,12.5,1,2,2,5.4,1.8
129,ES_102,3,2,12.7,1,2,1,6.2,2.0
130,ES_102,3,2,11.6,3,4,3,4.0,2.0
131,ES_102,3,3,13.0,3,3,2,5.0,2.0
132,ES_102,3,3,13.8,1,3,1,6.2,1.8
133,ES_102,3,4,13.9,1,2,1,6.0,4.0
134,ES_102,3,4,16.2,3,3,2,5.0,2.2
135,ES_102,3,7,10.2,1,2,1,6.5,3.0
137,ES_102,3,9,10.0,1,2,1,6.0,2.0
138,ES_102,3,9,13.5,1,2,1,6.5,3.8
140,ES_102,3,10,12.9,1,2,1,6.5,2.0
141,ES_102,4,1,11.0,1,2,3,7.3,4.0
142,ES_102,4,1,10.8,1,3,2,9.0,3.5
143,ES_102,4,1,12.1,2,3,2,9.5,4.5
144,ES_102,4,1,14.1,2,3,2,9.5,4.0
145,ES_102,4,1,12.5,3,3,3,7.5,3.0
146,ES_102,4,2,10.2,1,2,3,8.0,5.5
147,ES_102,4,2,10.7,1,2,2,9.0,4.0
148,ES_102,4,3,13.0,2,3,3,8.2,3.0
149,ES_102,4,3,10.1,1,3,3,8.5,6.0
150,ES_102,4,3,17.0,1,2,1,11.5,6.5
151,ES_102,4,3,10.9,2,3,2,9.5,6.0
152,ES_102,4,3,11.6,1,2,3,8.0,5.0
153,ES_102,4,4,15.4,1,2,2,10.0,5.5
154,ES_102,4,4,21.9,1,2,1,16.5,8.0
155,ES_102,4,4,23.6,1,3,1,14.0,8.0
156,ES_102,4,4,10.4,1,2,2,9.0,5.5
157,ES_102,4,4,10.0,1,3,3,8.0,4.0
158,ES_102,4,5,12.8,1,2,2,11.0,5.5
159,ES_102,4,5,11.3,1,3,2,9.5,7.0
160,ES_102,4,5,13.8,2,3,2,12.0,8.0
162,ES_102,4,5,24.2,1,2,1,16.5,8.0
163,ES_102,4,5,14.4,1,3,2,10.5,4.5
164,ES_102,4,5,17.4,2,3,1,13.0,8.5
165,ES_102,4,5,24.6,1,1,1,18.5,14.0
166,ES_102,4,6,23.3,1,2,2,12.5,10.0
167,ES_102,4,6,21.7,2,3,1,13.5,6.0
168,ES_102,4,6,15.3,2,3,2,10.0,6.0
170,ES_102,4,7,18.0,3,3,3,9.0,8.5
171,ES_102,4,7,13.3,1,2,3,3.5,1.6
172,ES_102,4,7,17.1,3,4,3,3.0,2.0
173,ES_102,4,7,10.9,1,2,2,8.5,4.5
174,ES_102,4,7,16.4,2,4,3,5.0,4.5
175,ES_102,4,8,18.6,2,2,2,12.5,8.5
176,ES_102,4,8,15.0,2,3,2,10.0,6.5
177,ES_102,4,8,10.6,2,3,2,9.0,5.5
178,ES_102,4,8,17.1,3,4,3,15.0,11.5
179,ES_102,4,8,16.6,2,3,2,9.5,5.0
181,ES_102,4,9,13.4,1,3,2,11.0,10.5
182,ES_102,4,9,21.6,1,2,1,15.0,13.0
183,ES_102,4,9,12.7,3,2,2,9.5,6.5
184,ES_102,4,10,12.2,1,2,2,12.0,9.5
185,ES_102,4,10,18.3,1,3,1,14.0,12.0
186,ES_102,4,10,12.5,1,3,2,12.0,8.0
187,ES_102,4,10,12.7,1,2,1,14.5,8.0
188,ES_102,4,10,16.5,1,3,1,13.5,10.5
189,ES_102,4,10,14.7,2,3,3,8.5,4.5
190,ES_102,4,10,10.7,3,3,3,6.0,3.0
191,ES_105,2,1,10.9,1,2,3,5.5,3.0
192,ES_105,2,1,10.6,1,3,2,6.2,3.5
193,ES_105,2,1,12.8,1,2,2,7.0,4.5
194,ES_105,2,1,12.4,1,3,2,6.4,3.5
195,ES_105,2,2,14.2,2,2,2,7.0,4.0
196,ES_105,2,2,16.0,1,1,1,9.8,4.0
197,ES_105,2,2,10.9,2,2,3,5.5,2.0
198,ES_105,2,2,12.6,3,3,2,6.0,4.0
199,ES_105,2,3,11.5,1,2,2,6.5,4.5
200,ES_105,2,3,13.1,3,2,2,6.0,4.0
201,ES_105,2,3,13.6,3,4,3,1.8,1.8
202,ES_105,2,3,10.4,2,2,3,5.5,3.5
203,ES_105,2,3,14.5,2,1,3,5.0,4.0
204,ES_105,2,4,11.4,2,2,2,7.0,5.5
206,ES_105,2,4,21.6,2,2,1,10.5,5.5
208,ES_105,2,5,19.3,2,2,1,9.0,5.5
209,ES_105,2,5,15.1,1,2,2,7.0,5.0
210,ES_105,2,5,16.2,2,2,2,7.0,4.5
211,ES_105,2,5,10.3,1,2,3,5.5,3.0
212,ES_105,2,5,13.0,1,2,2,6.5,2.5
213,ES_105,2,5,10.1,2,2,3,3.0,2.5
214,ES_105,2,6,12.6,2,2,2,6.0,3.5
215,ES_105,2,7,23.3,2,2,1,8.0,4.5
216,ES_105,2,7,12.6,2,2,3,3.5,3.5
217,ES_105,2,7,10.8,2,2,3,3.5,2.5
219,ES_105,2,8,16.8,2,2,1,11.0,6.0
220,ES_105,2,8,11.9,1,2,1,11.0,5.5
221,ES_105,2,8,15.2,1,2,1,10.5,6.0
222,ES_105,2,8,12.6,1,2,2,8.0,5.0
223,ES_105,2,8,12.9,2,2,3,5.5,3.0
224,ES_105,2,9,13.4,2,2,3,2.5,1.5
225,ES_105,2,9,12.6,2,2,3,3.5,2.5
226,ES_105,2,10,12.2,2,2,3,4.5,3.0
227,ES_108,2,1,11.3,1,3,3,6.0,3.0
228,ES_108,2,1,14.2,1,3,3,6.2,4.3
229,ES_108,2,1,25.5,2,2,1,15.6,9.5
231,ES_108,2,1,12.1,1,2,2,7.5,3.0
233,ES_108,2,7,13.5,2,3,1,10.5,7.5
234,ES_108,2,7,14.0,1,2,3,7.0,2.0
235,ES_108,2,7,12.9,1,2,2,8.5,4.5
